OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-30422,2023-138U,2025-07-28T18:00:03.729024,15.02530344,.0001469,43.0040,12.5590,254.4125,105.6555,0,U,57826,999,10502,-.19705E-5,-.23E-5,0
STARLINK-30402,2023-138V,2025-07-28T18:06:27.859968,15.02535521,.0001087,43.0038,12.5926,255.4191,104.6531,0,U,57827,999,10502,-.58779E-5,-.283E-5,0
STARLINK-30411,2023-138W,2025-07-29T03:44:00.887712,15.02530026,.0001414,43.0043,10.4197,269.2795,90.7885,0,U,57828,999,10502,.39507E-4,.33E-5,0
STARLINK-30418,2023-138X,2025-07-29T03:24:49.969728,15.02538410,.0001249,43.0060,10.3430,262.9327,97.1374,0,U,57829,999,10492,.16637E-4,.21E-6,0
STARLINK-30285,2023-141A,2025-07-28T19:54:52.373376,15.30192674,.0001161,53.1596,243.9524,83.6586,276.4547,0,U,57840,999,10606,.17533E-4,.16E-5,0
STARLINK-30410,2023-141B,2025-07-29T02:29:15.920736,15.30204011,.0001101,53.1588,242.6310,74.7465,285.3658,0,U,57841,999,10609,.52795E-4,.1205E-4,0
STARLINK-30435,2023-141C,2025-07-28T09:19:15.522240,15.30196027,.0001115,53.1589,246.0171,78.9427,281.1699,0,U,57842,999,10598,.18856E-4,.199E-5,0
STARLINK-30423,2023-141D,2025-07-29T02:39:54.534240,15.30197110,.0001132,53.1586,242.6622,79.5613,280.5515,0,U,57843,999,10609,.42184E-4,.89E-5,0
STARLINK-30292,2023-141E,2025-07-29T01:16:23.045664,15.30196622,.0001053,53.1586,242.5162,88.8932,271.2190,0,U,57844,999,10609,.34442E-4,.661E-5,0
STARLINK-30416,2023-141H,2025-07-28T09:05:37.142304,15.30199514,.0001034,53.1585,246.0833,83.1134,276.9984,0,U,57847,999,10598,-.33255E-4,-.1344E-4,0
STARLINK-30426,2023-141J,2025-07-28T09:29:52.841472,15.30194650,.0001225,53.1592,245.9859,94.1218,265.9922,0,U,57848,999,10598,.28512E-4,.485E-5,0
STARLINK-30430,2023-141K,2025-07-28T09:01:03.748512,15.30191211,.0001172,53.1589,246.1052,82.9006,277.2128,0,U,57849,999,10598,.97823E-5,-.69E-6,0
STARLINK-30425,2023-141L,2025-07-29T02:49:01.311456,15.30195587,.0001125,53.1584,242.6731,80.0748,280.0379,0,U,57850,999,10609,.12675E-4,.16E-6,0
STARLINK-30405,2023-141M,2025-07-28T09:10:10.172352,15.30191443,.0001165,53.1593,246.0917,79.3940,280.7192,0,U,57851,999,10598,.15507E-4,.1E-5,0
